feature,importance
right_cv,0.141839655699706
left_cv,0.07647774820714365
right_skew,0.07019989337953118
stride_std,0.060394780956848165
stride_cv,0.05538017063478336
step_asymmetry,0.05471072161960472
lr_asymmetry,0.05428584462411926
lr_ratio,0.043305442882794774
left_skew,0.04043363634934912
right_mean,0.03928917751493692
right_kurtosis,0.038836679252122815
right_std,0.037526822149043494
left_kurtosis,0.03564215493975556
left_steps,0.030477039181709093
right_max,0.029236289880777186
total_force_cv,0.028684770391457063
right_steps,0.028494908635064434
stride_mean,0.026425624379666855
left_max,0.025210093333838418
total_force_mean,0.022611050506804085
total_force_std,0.01841055529270318
left_mean,0.01710056791979673
left_std,0.015862026947179402
duration,0.009164345321264464
